ts,cfg,epoch,bodies_mean,n_bodies,peak_mib,total_peak_mib
1788546313,rtg_e31_s2,150,17.9,18,6024,11154
1788546313,rtg_e31_s3,152,11.95,12,4834,11154
1788546439,rtg_e31_s2,151,18.0,18,5924,11154
1788546439,rtg_e31_s3,153,12.35,12,4834,11154
1788546567,rtg_e31_s2,152,18.2,18,4622,9846
1788546567,rtg_e31_s3,154,12.15,12,4828,9846
1788546693,rtg_e31_s2,152,18.2,18,6016,9090
1788546693,rtg_e31_s3,154,12.15,12,3880,9090
1788546820,rtg_e31_s2,153,17.75,18,6016,12112
1788546820,rtg_e31_s3,155,12.1,12,5798,12112
1788546948,rtg_e31_s2,154,17.6,18,7410,11118
1788546948,rtg_e31_s3,156,12.0,12,4846,11118
1788547076,rtg_e31_s2,155,18.1,18,7410,12648
1788547076,rtg_e31_s3,157,12.0,12,4842,12648
1788547202,rtg_e31_s2,156,18.0,18,5922,11136
1788547202,rtg_e31_s3,158,12.0,12,4818,11136
1788547328,rtg_e31_s2,157,17.9,18,6034,11276
1788547328,rtg_e31_s3,158,12.0,12,4846,11276
1788547454,rtg_e31_s2,159,18.25,18,4618,9866
1788547454,rtg_e31_s3,160,12.1,12,4852,9866
1788547582,rtg_e31_s2,160,17.85,18,7316,11594
1788547582,rtg_e31_s3,161,12.1,12,3882,11594
1788547709,rtg_e31_s2,161,17.85,18,7318,11596
1788547709,rtg_e31_s3,162,12.0,12,3882,11596
1788547835,rtg_e31_s2,161,17.85,18,7436,12672
1788547835,rtg_e31_s3,163,12.15,12,4840,12672
1788547962,rtg_e31_s2,162,17.85,18,4536,9758
1788547962,rtg_e31_s3,163,12.15,12,4826,9758
1788548089,rtg_e31_s2,163,18.2,18,6054,12224
1788548089,rtg_e31_s3,164,12.05,12,5774,12224
1788548217,rtg_e31_s2,164,17.9,18,8766,13990
1788548217,rtg_e31_s3,165,12.05,12,5774,13990
1788548345,rtg_e31_s2,165,17.85,18,8766,13990
1788548345,rtg_e31_s3,166,12.05,12,4846,13990
1788548472,rtg_e31_s2,165,17.85,18,6026,11268
1788548472,rtg_e31_s3,166,12.05,12,4846,11268
1788548599,rtg_e31_s2,167,18.05,18,5974,9204
1788548599,rtg_e31_s3,167,12.0,12,4830,9204
1788548726,rtg_e31_s2,167,18.05,18,4612,9836
1788548726,rtg_e31_s3,168,12.05,12,4828,9836
1788548852,rtg_e31_s2,168,18.25,18,5936,11156
1788548852,rtg_e31_s3,169,12.25,12,4824,11156
1788548979,rtg_e31_s2,169,18.0,18,4798,10978
1788548979,rtg_e31_s3,170,12.4,12,5784,10978
1788549106,rtg_e31_s2,170,18.0,18,7448,12134
1788549106,rtg_e31_s3,171,12.1,12,5784,12134
1788549232,rtg_e31_s2,171,18.05,18,7450,12686
1788549232,rtg_e31_s3,172,12.1,12,4840,12686
1788549358,rtg_e31_s2,172,18.1,18,7356,11282
1788549358,rtg_e31_s3,173,12.2,12,4842,11282
1788549485,rtg_e31_s2,173,18.05,18,6044,11282
1788549485,rtg_e31_s3,173,12.2,12,4848,11282
1788549613,rtg_e31_s2,175,18.1,18,4556,9800
1788549613,rtg_e31_s3,175,12.2,12,4848,9800
1788549739,rtg_e31_s2,175,18.1,18,4802,10050
1788549739,rtg_e31_s3,176,12.2,12,4852,10050
1788549867,rtg_e31_s2,176,18.05,18,7366,13576
1788549867,rtg_e31_s3,176,12.2,12,5814,13576
1788549995,rtg_e31_s2,177,18.05,18,7366,13576
1788549995,rtg_e31_s3,177,12.2,12,5814,13576
1788550123,rtg_e31_s2,178,18.1,18,6048,11300
1788550123,rtg_e31_s3,178,12.25,12,4874,11300
1788550249,rtg_e31_s2,179,18.2,18,5964,11234
1788550249,rtg_e31_s3,178,12.25,12,4874,11234
1788550376,rtg_e31_s2,179,18.2,18,6048,9122
1788550376,rtg_e31_s3,179,12.05,12,4884,9122
1788550504,rtg_e31_s2,180,18.3,18,5952,11232
1788550504,rtg_e31_s3,180,12.25,12,4884,11232
1788550631,rtg_e31_s2,181,18.2,18,4800,10054
1788550631,rtg_e31_s3,180,12.25,12,4858,10054
1788550758,rtg_e31_s2,182,18.3,18,5978,11236
1788550758,rtg_e31_s3,181,12.25,12,4862,11236
1788550887,rtg_e31_s2,183,18.0,18,6220,11236
1788550887,rtg_e31_s3,182,12.25,12,4862,11236
1788551015,rtg_e31_s2,183,18.0,18,7390,11684
1788551015,rtg_e31_s3,182,12.25,12,3898,11684
1788551142,rtg_e31_s2,184,18.15,18,7390,11684
1788551142,rtg_e31_s3,183,12.15,12,3898,11684
1788551269,rtg_e31_s2,185,18.05,18,6254,10570
1788551269,rtg_e31_s3,184,12.15,12,3920,10570
1788551396,rtg_e31_s2,185,18.05,18,7390,10570
1788551396,rtg_e31_s3,185,12.35,12,3920,10570
1788551523,rtg_e31_s2,187,18.25,18,4804,9094
1788551523,rtg_e31_s3,185,12.35,12,3894,9094
1788551650,rtg_e31_s2,188,18.15,18,5956,11202
1788551650,rtg_e31_s3,186,12.15,12,4850,11202
1788551778,rtg_e31_s2,189,18.15,18,6220,12416
1788551778,rtg_e31_s3,187,12.2,12,5800,12416
1788551906,rtg_e31_s2,190,18.0,18,6220,12416
1788551906,rtg_e31_s3,188,12.1,12,5800,12416
1788552034,rtg_e31_s2,191,18.05,18,4540,10736
1788552034,rtg_e31_s3,189,12.05,12,5800,10736
1788552162,rtg_e31_s2,191,18.05,18,7464,12712
1788552162,rtg_e31_s3,189,12.05,12,4852,12712
1788552289,rtg_e31_s2,192,18.05,18,5958,11202
1788552289,rtg_e31_s3,190,12.2,12,4848,11202
1788552415,rtg_e31_s2,193,18.05,18,7430,11202
1788552415,rtg_e31_s3,191,12.15,12,5794,11202
1788552542,rtg_e31_s2,194,18.3,18,8806,14994
1788552542,rtg_e31_s3,192,12.05,12,5794,14994
1788552668,rtg_e31_s2,195,18.15,18,6038,11276
1788552668,rtg_e31_s3,193,12.35,12,4842,11276
1788552794,rtg_e31_s2,196,18.0,18,7288,12524
1788552794,rtg_e31_s3,193,12.35,12,4840,12524
1788552922,rtg_e31_s2,197,17.55,18,8698,12982
1788552922,rtg_e31_s3,194,12.05,12,3888,12982
1788553051,rtg_e31_s2,198,17.65,18,8698,12982
1788553051,rtg_e31_s3,195,12.3,12,3890,12982
1788553178,rtg_e31_s2,198,17.65,18,5906,10192
1788553178,rtg_e31_s3,195,12.3,12,4848,10192
1788553303,rtg_e31_s2,199,17.6,18,7282,10356
1788553303,rtg_e31_s3,196,12.05,12,4848,10356
1788553430,rtg_e31_s2,200,17.65,18,7386,12626
1788553430,rtg_e31_s3,197,12.2,12,4844,12626
1788553556,rtg_e31_s2,201,17.95,18,7386,12578
